"Year","Month","State","Countym","Industry","Suspicious.Activity","Regulator","Relationship","Product","Instrument"
"2012","April","New York","New York County, NY","Insurance Company","Proceeds Sent to Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Other"
"2012","April","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2012","May","Iowa","Polk County, IA","Insurance Company","Proceeds Sent to Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","Other"
"2012","May","Iowa","Polk County, IA","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","IRS","Agent","Insurance/Annuity Products","Other"
"2012","May","Iowa","Polk County, IA","Insurance Company","Transaction with No Apparent Economic, Business, or Lawful Purpose","IRS","Agent","Insurance/Annuity Products","Other"
"2012","May","Iowa","Polk County, IA","Insurance Company","Two or More Individuals Working Together","IRS","Agent","Insurance/Annuity Products","Other"
"2012","May","Iowa","Polk County, IA","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Embezzlement/Theft/Disappearance of Funds","IRS","Agent","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Embezzlement/Theft/Disappearance of Funds","IRS","Other","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Forgeries","IRS","Agent","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Forgeries","IRS","Other","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Other Insurance","IRS","Agent","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Other Insurance","IRS","Other","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Wire Transfer","IRS","Agent","Insurance/Annuity Products","Other"
"2012","June","Indiana","Allen County, IN","Insurance Company","Wire Transfer","IRS","Other","Insurance/Annuity Products","Other"
"2012","June","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2012","June","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other"
"2012","June","New York","New York County, NY","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","IRS","Customer","Insurance/Annuity Products","Other"
"2012","July","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Other","Insurance/Annuity Products","Other"
"2012","December","New York","New York County, NY","Insurance Company","Proceeds Sent to Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Other"
"2012","December","New York","New York County, NY","Insurance Company","Suspicious Concerning the Source of Funds","IRS","Customer","Insurance/Annuity Products","Other"
"2012","December","New York","New York County, NY","Insurance Company","Suspicious EFT/Wire Transfers","IRS","Customer","Insurance/Annuity Products","Other"
"2012","April","California","Los Angeles County, CA","Insurance Company","Other Fraud (Type)","IRS","Agent","Insurance/Annuity Products","Money Orders"
"2012","April","California","Los Angeles County, CA","Insurance Company","Other Fraud (Type)","IRS","Agent","Insurance/Annuity Products","Personal/Business Check"
"2012","April","California","Los Angeles County, CA","Insurance Company","Other Insurance","IRS","Agent","Insurance/Annuity Products","Money Orders"
"2012","April","California","Los Angeles County, CA","Insurance Company","Other Insurance","IRS","Agent","Insurance/Annuity Products","Personal/Business Check"
"2012","April","California","Los Angeles County, CA","Insurance Company","Suspicious Use of Multiple Accounts","IRS","Agent","Insurance/Annuity Products","Money Orders"
"2012","April","California","Los Angeles County, CA","Insurance Company","Suspicious Use of Multiple Accounts","IRS","Agent","Insurance/Annuity Products","Personal/Business Check"
"2012","April","California","Los Angeles County, CA","Insurance Company","Suspicious Use of Multiple Locations","IRS","Agent","Insurance/Annuity Products","Money Orders"
"2012","April","California","Los Angeles County, CA","Insurance Company","Suspicious Use of Multiple Locations","IRS","Agent","Insurance/Annuity Products","Personal/Business Check"
"2012","April","California","Los Angeles County, CA","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","IRS","Agent","Insurance/Annuity Products","Money Orders"
"2012","April","California","Los Angeles County, CA","Insurance Company","Suspicious Use of Third-Party Transactors (Straw-Man)","IRS","Agent","Insurance/Annuity Products","Personal/Business Check"
